Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Iteration 2,Chrome 97.0.4692.71,,,2022-01-11 06:14:28,2022-01-11 07:35:08,1h - 20m - 39.714s,FAILED
,,,,,,,
Test Cases/Chat/Chat starred,Chrome 97.0.4692.71,,,2022-01-11 06:14:29,2022-01-11 06:17:14,2m - 45.332s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-11 06:14:29,2022-01-11 06:14:31,2.263s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,2022-01-11 06:14:31,2022-01-11 06:14:32,0.938s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh/a_Log in""))",Chrome 97.0.4692.71,,,2022-01-11 06:14:32,2022-01-11 06:14:33,0.762s,PASSED
"setText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Username_username""), ""anhle1"")",Chrome 97.0.4692.71,,,2022-01-11 06:14:33,2022-01-11 06:14:34,0.883s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/input_Password_password""), ""eGmz8XUbrLe3vUQiiiujBg=="")",Chrome 97.0.4692.71,,,2022-01-11 06:14:34,2022-01-11 06:14:34,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_L Tm Anh Log in to the site/button_Log in""))",Chrome 97.0.4692.71,,,2022-01-11 06:14:34,2022-01-11 06:14:36,1.142s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/a_0""))",Chrome 97.0.4692.71,,,2022-01-11 06:14:36,2022-01-11 06:15:07,31.655s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/div_L CDE""))",Chrome 97.0.4692.71,,,2022-01-11 06:15:07,2022-01-11 06:15:39,31.645s,PASSED
"setText(findTestObject(""Object Repository/Page_Dashboard/textarea_Use enter to send_yui_3_17_2_1_164_f30280""), ""alo"")",Chrome 97.0.4692.71,,,2022-01-11 06:15:39,2022-01-11 06:16:42,1m - 2.929s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard/button__btn btn-link btn-icon icon-size-3 m_754a09""))",Chrome 97.0.4692.71,,,2022-01-11 06:16:42,2022-01-11 06:17:13,31.553s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-11 06:17:13,2022-01-11 06:17:14,0.672s,PASSED
,,,,,,,
Test Cases/Chat/Chat with group,Chrome 97.0.4692.71,,,2022-01-11 06:17:14,2022-01-11 06:20:00,2m - 45.916s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-11 06:17:14,2022-01-11 06:17:16,1.199s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-11 06:17:16,2022-01-11 06:17:16,0.657s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-11 06:17:16,2022-01-11 06:17:17,1.200s,PASSED
"navigateToUrl(""http://localhost/"")",Chrome 97.0.4692.71,,,2022-01-11 06:17:17,2022-01-11 06:17:18,0.543s,PASSED
